ANO;MES;SENADOR;TIPO_DESPESA;DATA;VALOR_REEMBOLSADO
2019;1;ACIR GURGACZ;Aluguel Imoveis;04/01/2019;66.02
2019;1;ACIR GURGACZ;Aluguel Imoveis;04/01/2019;139.98
2019;1;ACIR GURGACZ;Aluguel Imoveis;07/01/2019;6000.0
2019;1;ACIR GURGACZ;Aluguel Imoveis;25/12/2019;316.39
2019;2;ACIR GURGACZ;Aluguel Imoveis;04/02/2019;99.45
2019;2;ACIR GURGACZ;Aluguel Imoveis;04/02/2019;262.93
2019;2;ACIR GURGACZ;Aluguel Imoveis;01/02/2019;6000.0
2019;2;ACIR GURGACZ;Aluguel Imoveis;25/01/2019;317.36
2019;3;ACIR GURGACZ;Aluguel Imoveis;01/03/2019;85.5
2019;3;ACIR GURGACZ;Aluguel Imoveis;01/03/2019;244.57
2019;3;ACIR GURGACZ;Aluguel Imoveis;01/03/2019;6000.0
2019;3;ACIR GURGACZ;Aluguel Imoveis;25/02/2019;321.39
2019;3;ACIR GURGACZ;Atividade Parlamentar;07/03/2019;1000.0
2019;3;ACIR GURGACZ;Atividade Parlamentar;07/03/2019;1500.0
2019;4;ACIR GURGACZ;Aluguel Imoveis;03/04/2019;88.07
2019;4;ACIR GURGACZ;Aluguel Imoveis;03/04/2019;317.43
2019;4;ACIR GURGACZ;Aluguel Imoveis;01/04/2019;6000.0
2019;4;ACIR GURGACZ;Aluguel Imoveis;25/03/2019;321.39
2019;4;ACIR GURGACZ;Material de consumo;11/04/2019;378.0
2019;4;ACIR GURGACZ;Material de consumo;12/04/2019;252.0
2019;4;ACIR GURGACZ;Atividade Parlamentar;03/04/2019;3500.0
2019;4;ACIR GURGACZ;Atividade Parlamentar;01/04/2019;1000.0
2019;4;ACIR GURGACZ;Atividade Parlamentar;02/04/2019;1500.0
2019;4;ACIR GURGACZ;Atividade Parlamentar;29/04/2019;825.0
2019;4;ACIR GURGACZ;Atividade Parlamentar;10/04/2019;2000.0
2019;5;ACIR GURGACZ;Aluguel Imoveis;03/05/2019;78.62
2019;5;ACIR GURGACZ;Aluguel Imoveis;03/05/2019;224.07
2019;5;ACIR GURGACZ;Aluguel Imoveis;02/05/2019;6000.0
2019;5;ACIR GURGACZ;Aluguel Imoveis;25/04/2019;321.39
2019;5;ACIR GURGACZ;Atividade Parlamentar;20/05/2019;1000.0
2019;5;ACIR GURGACZ;Atividade Parlamentar;06/05/2019;3500.0
2019;5;ACIR GURGACZ;Atividade Parlamentar;01/05/2019;1000.0
2019;5;ACIR GURGACZ;Atividade Parlamentar;02/05/2019;1500.0
2019;5;ACIR GURGACZ;Passagens;21/05/2019;2839.84
2019;5;ACIR GURGACZ;Passagens;13/05/2019;2471.34
2019;6;ACIR GURGACZ;Aluguel Imoveis;01/06/2019;79.56
2019;6;ACIR GURGACZ;Aluguel Imoveis;01/06/2019;285.17
2019;6;ACIR GURGACZ;Aluguel Imoveis;03/06/2019;6000.0
2019;6;ACIR GURGACZ;Aluguel Imoveis;25/05/2019;321.39
2019;6;ACIR GURGACZ;Apoio parlamentar;06/06/2019;3500.0
2019;6;ACIR GURGACZ;Atividade Parlamentar;26/06/2019;1000.0
2019;6;ACIR GURGACZ;Atividade Parlamentar;02/06/2019;1000.0
2019;6;ACIR GURGACZ;Atividade Parlamentar;05/06/2019;1500.0
2019;6;ACIR GURGACZ;Atividade Parlamentar;07/06/2019;3537.5
2019;6;ACIR GURGACZ;Atividade Parlamentar;21/06/2019;1000.0
2019;6;ACIR GURGACZ;Atividade Parlamentar;25/06/2019;1000.0
2019;6;ACIR GURGACZ;Viagens;01/06/2019;6433.61
2019;6;ACIR GURGACZ;Viagens;03/06/2019;5212.17
2019;6;ACIR GURGACZ;Viagens;06/06/2019;4337.29
2019;6;ACIR GURGACZ;Viagens;03/06/2019;6903.6
2019;6;ACIR GURGACZ;Passagens;12/06/2019;2370.23
2019;6;ACIR GURGACZ;Passagens;14/06/2019;1243.93
2019;6;ACIR GURGACZ;Passagens;17/06/2019;1429.24
2019;7;ACIR GURGACZ;Aluguel Imoveis;03/07/2019;78.62
2019;7;ACIR GURGACZ;Aluguel Imoveis;03/07/2019;280.21
2019;7;ACIR GURGACZ;Aluguel Imoveis;01/07/2019;6000.0
2019;7;ACIR GURGACZ;Aluguel Imoveis;25/06/2019;321.32
2019;7;ACIR GURGACZ;Material de consumo;29/07/2019;213.7
2019;7;ACIR GURGACZ;Apoio parlamentar;09/07/2019;3500.0
2019;7;ACIR GURGACZ;Atividade Parlamentar;25/07/2019;1000.0
2019;7;ACIR GURGACZ;Atividade Parlamentar;02/07/2019;1000.0
2019;7;ACIR GURGACZ;Atividade Parlamentar;03/07/2019;1500.0
2019;7;ACIR GURGACZ;Atividade Parlamentar;09/07/2019;1000.0
2019;7;ACIR GURGACZ;Atividade Parlamentar;19/07/2019;1000.0
2019;7;ACIR GURGACZ;Atividade Parlamentar;10/07/2019;2000.0
2019;7;ACIR GURGACZ;Atividade Parlamentar;31/07/2019;1000.0
2019;7;ACIR GURGACZ;Atividade Parlamentar;29/07/2019;1000.0
2019;7;ACIR GURGACZ;Passagens;09/07/2019;4227.76
2019;8;ACIR GURGACZ;Aluguel Imoveis;01/08/2019;80.91
2019;8;ACIR GURGACZ;Aluguel Imoveis;01/08/2019;299.74
2019;8;ACIR GURGACZ;Aluguel Imoveis;01/08/2019;6000.0
2019;8;ACIR GURGACZ;Aluguel Imoveis;25/07/2019;326.43
2019;8;ACIR GURGACZ;Apoio parlamentar;09/08/2019;3500.0
2019;8;ACIR GURGACZ;Atividade Parlamentar;27/08/2019;1000.0
2019;8;ACIR GURGACZ;Atividade Parlamentar;01/08/2019;1000.0
2019;8;ACIR GURGACZ;Atividade Parlamentar;30/08/2019;2000.0
2019;8;ACIR GURGACZ;Atividade Parlamentar;07/08/2019;1500.0
2019;8;ACIR GURGACZ;Atividade Parlamentar;07/08/2019;1000.0
2019;8;ACIR GURGACZ;Atividade Parlamentar;06/08/2019;500.0
2019;8;ACIR GURGACZ;Atividade Parlamentar;29/08/2019;1000.0
2019;9;ACIR GURGACZ;Aluguel Imoveis;02/09/2019;285.04
2019;9;ACIR GURGACZ;Aluguel Imoveis;02/09/2019;6000.0
2019;9;ACIR GURGACZ;Aluguel Imoveis;25/08/2019;328.95
