ANO;MES;SENADOR;TIPO_DESPESA;DATA;VALOR_REEMBOLSADO
2022;1;ACIR GURGACZ;Aluguel Imoveis;03/01/2022;6000.0
2022;1;ACIR GURGACZ;Atividade Parlamentar;04/01/2022;1500.0
2022;1;ACIR GURGACZ;Atividade Parlamentar;14/01/2022;6000.0
2022;1;ACIR GURGACZ;Atividade Parlamentar;18/01/2022;1000.0
2022;1;ACIR GURGACZ;Atividade Parlamentar;17/01/2022;2000.0
2022;1;ACIR GURGACZ;Passagens;24/01/2022;1000.36
2022;2;ACIR GURGACZ;Aluguel Imoveis;02/02/2022;6000.0
2022;2;ACIR GURGACZ;Apoio parlamentar;14/02/2022;6000.0
2022;2;ACIR GURGACZ;Atividade Parlamentar;16/02/2022;1500.0
2022;2;ACIR GURGACZ;Atividade Parlamentar;02/02/2022;1000.0
2022;2;ACIR GURGACZ;Atividade Parlamentar;14/02/2022;1000.0
2022;2;ACIR GURGACZ;Atividade Parlamentar;28/02/2022;1000.0
2022;2;ACIR GURGACZ;Atividade Parlamentar;21/02/2022;1000.0
2022;2;ACIR GURGACZ;Atividade Parlamentar;23/02/2022;1000.0
2022;2;ACIR GURGACZ;Passagens;05/02/2022;1895.0
2022;2;ACIR GURGACZ;Passagens;05/02/2022;2296.42
2022;2;ACIR GURGACZ;Passagens;09/02/2022;2333.82
2022;2;ACIR GURGACZ;Passagens;17/02/2022;1817.19
2022;2;ACIR GURGACZ;Passagens;23/02/2022;2530.0
2022;3;ACIR GURGACZ;Aluguel Imoveis;01/03/2022;6000.0
2022;3;ACIR GURGACZ;Atividade Parlamentar;09/03/2022;1000.0
2022;3;ACIR GURGACZ;Atividade Parlamentar;07/03/2022;1500.0
2022;3;ACIR GURGACZ;Atividade Parlamentar;23/03/2022;1500.0
2022;3;ACIR GURGACZ;Atividade Parlamentar;04/03/2022;1000.0
2022;3;ACIR GURGACZ;Atividade Parlamentar;30/03/2022;1000.0
2022;3;ACIR GURGACZ;Atividade Parlamentar;04/03/2022;6000.0
2022;3;ACIR GURGACZ;Atividade Parlamentar;31/03/2022;1000.0
2022;3;ACIR GURGACZ;Viagens;08/03/2022;2860.0
2022;3;ACIR GURGACZ;Viagens;25/03/2022;2860.0
2022;3;ACIR GURGACZ;Viagens;10/03/2022;4260.0
2022;3;ACIR GURGACZ;Viagens;22/03/2022;2840.0
2022;3;ACIR GURGACZ;Viagens;22/03/2022;6390.0
2022;3;ACIR GURGACZ;Passagens;03/03/2022;896.12
2022;3;ACIR GURGACZ;Passagens;15/03/2022;2959.12
2022;3;ACIR GURGACZ;Passagens;18/03/2022;1008.82
2022;3;ACIR GURGACZ;Passagens;18/03/2022;3547.23
2022;4;ACIR GURGACZ;Aluguel Imoveis;01/04/2022;6000.0
2022;4;ACIR GURGACZ;Apoio parlamentar;01/04/2022;6000.0
2022;4;ACIR GURGACZ;Atividade Parlamentar;01/04/2022;1000.0
2022;4;ACIR GURGACZ;Atividade Parlamentar;04/04/2022;1000.0
2022;4;ACIR GURGACZ;Viagens;04/04/2022;15150.0
2022;4;ACIR GURGACZ;Passagens;01/04/2022;2175.45
2022;1;ALESSANDRO VIEIRA;Aluguel Imoveis;04/01/2022;500.0
2022;1;ALESSANDRO VIEIRA;Aluguel Imoveis;10/02/2022;3300.0
2022;1;ALESSANDRO VIEIRA;Aluguel Imoveis;01/01/2022;235.96
2022;1;ALESSANDRO VIEIRA;Aluguel Imoveis;13/01/2022;455.96
2022;1;ALESSANDRO VIEIRA;Material de consumo;23/02/2022;800.0
2022;1;ALESSANDRO VIEIRA;Material de consumo;21/01/2022;200.0
2022;1;ALESSANDRO VIEIRA;Apoio parlamentar;02/02/2022;103.24
2022;1;ALESSANDRO VIEIRA;Apoio parlamentar;20/01/2022;9040.0
2022;1;ALESSANDRO VIEIRA;Apoio parlamentar;11/03/2022;6400.0
2022;1;ALESSANDRO VIEIRA;Apoio parlamentar;02/01/2022;210.92
2022;1;ALESSANDRO VIEIRA;Apoio parlamentar;05/01/2022;45.9
2022;1;ALESSANDRO VIEIRA;Viagens;14/01/2022;100.0
2022;1;ALESSANDRO VIEIRA;Viagens;14/01/2022;220.0
2022;1;ALESSANDRO VIEIRA;Viagens;14/01/2022;300.0
2022;1;ALESSANDRO VIEIRA;Viagens;14/01/2022;1900.0
2022;1;ALESSANDRO VIEIRA;Viagens;28/01/2022;2346.23
2022;2;ALESSANDRO VIEIRA;Aluguel Imoveis;09/02/2022;500.0
2022;2;ALESSANDRO VIEIRA;Apoio parlamentar;02/03/2022;93.32
2022;2;ALESSANDRO VIEIRA;Apoio parlamentar;03/03/2022;7102.85
2022;2;ALESSANDRO VIEIRA;Apoio parlamentar;11/03/2022;6400.0
2022;2;ALESSANDRO VIEIRA;Apoio parlamentar;02/02/2022;221.36
2022;2;ALESSANDRO VIEIRA;Viagens;24/02/2022;716.32
2022;2;ALESSANDRO VIEIRA;Passagens;27/01/2022;3290.52
2022;2;ALESSANDRO VIEIRA;Passagens;01/02/2022;3301.08
2022;2;ALESSANDRO VIEIRA;Passagens;03/02/2022;2266.03
2022;2;ALESSANDRO VIEIRA;Passagens;03/02/2022;3315.7
2022;2;ALESSANDRO VIEIRA;Passagens;03/02/2022;3425.71
2022;2;ALESSANDRO VIEIRA;Passagens;12/02/2022;3429.83
2022;2;ALESSANDRO VIEIRA;Passagens;16/02/2022;3311.3
2022;3;ALESSANDRO VIEIRA;Material de consumo;13/03/2022;217.6
2022;3;ALESSANDRO VIEIRA;Apoio parlamentar;21/03/2022;6400.0
2022;3;ALESSANDRO VIEIRA;Viagens;22/03/2022;135.45
2022;3;ALESSANDRO VIEIRA;Viagens;02/03/2022;571.19
2022;3;ALESSANDRO VIEIRA;Viagens;31/03/2022;893.58
2022;3;ALESSANDRO VIEIRA;Passagens;04/03/2022;4287.4
2022;3;ALESSANDRO VIEIRA;Passagens;05/03/2022;4521.81
2022;3;ALESSANDRO VIEIRA;Passagens;11/03/2022;3460.2
2022;3;ALESSANDRO VIEIRA;Passagens;11/03/2022;4450.56
2022;3;ALESSANDRO VIEIRA;Passagens;14/03/2022;3918.23
2022;3;ALESSANDRO VIEIRA;Passagens;16/03/2022;5424.11
2022;3;ALESSANDRO VIEIRA;Passagens;16/03/2022;5428.66
2022;2;ALEXANDRE SILVEIRA;Aluguel Imoveis;03/03/2022;376.5
2022;2;ALEXANDRE SILVEIRA;Aluguel Imoveis;05/02/2022;2914.82
2022;2;ALEXANDRE SILVEIRA;Aluguel Imoveis;10/02/2022;6300.0
2022;2;ALEXANDRE SILVEIRA;Aluguel Imoveis;01/02/2022;489.4
2022;2;ALEXANDRE SILVEIRA;Material de consumo;21/02/2022;1925.0
2022;2;ALEXANDRE SILVEIRA;Material de consumo;17/02/2022;414.0
