ANO;MES;SENADOR;TIPO_DESPESA;DATA;VALOR_REEMBOLSADO
2020;1;ACIR GURGACZ;Aluguel Imoveis;06/01/2020;122.62
2020;1;ACIR GURGACZ;Aluguel Imoveis;06/01/2020;137.75
2020;1;ACIR GURGACZ;Aluguel Imoveis;06/01/2020;1000.0
2020;1;ACIR GURGACZ;Aluguel Imoveis;02/01/2020;6000.0
2020;1;ACIR GURGACZ;Aluguel Imoveis;25/12/2020;323.95
2020;1;ACIR GURGACZ;Apoio parlamentar;09/01/2020;3500.0
2020;1;ACIR GURGACZ;Apoio parlamentar;07/01/2020;4337.41
2020;1;ACIR GURGACZ;Atividade Parlamentar;28/01/2020;1000.0
2020;1;ACIR GURGACZ;Atividade Parlamentar;27/01/2020;1000.0
2020;1;ACIR GURGACZ;Atividade Parlamentar;31/01/2020;1000.0
2020;1;ACIR GURGACZ;Passagens;31/01/2020;652.49
2020;1;ACIR GURGACZ;Passagens;05/01/2020;839.69
2020;1;ACIR GURGACZ;Passagens;07/01/2020;1569.96
2020;1;ACIR GURGACZ;Passagens;09/01/2020;1986.84
2020;1;ACIR GURGACZ;Passagens;16/01/2020;836.12
2020;1;ACIR GURGACZ;Passagens;23/01/2020;1001.66
2020;1;ACIR GURGACZ;Passagens;24/01/2020;1137.16
2020;1;ACIR GURGACZ;Passagens;30/01/2020;1672.24
2020;2;ACIR GURGACZ;Aluguel Imoveis;07/02/2020;277.28
2020;2;ACIR GURGACZ;Aluguel Imoveis;07/02/2020;290.28
2020;2;ACIR GURGACZ;Aluguel Imoveis;05/02/2020;1000.0
2020;2;ACIR GURGACZ;Aluguel Imoveis;03/02/2020;6000.0
2020;2;ACIR GURGACZ;Aluguel Imoveis;25/01/2020;323.95
2020;2;ACIR GURGACZ;Apoio parlamentar;27/02/2020;3500.0
2020;2;ACIR GURGACZ;Atividade Parlamentar;27/02/2020;1000.0
2020;2;ACIR GURGACZ;Atividade Parlamentar;12/02/2020;1500.0
2020;2;ACIR GURGACZ;Atividade Parlamentar;11/02/2020;1000.0
2020;2;ACIR GURGACZ;Atividade Parlamentar;28/02/2020;1000.0
2020;2;ACIR GURGACZ;Passagens;13/01/2020;1717.46
2020;2;ACIR GURGACZ;Passagens;14/01/2020;732.28
2020;2;ACIR GURGACZ;Passagens;23/01/2020;1176.55
2020;3;ACIR GURGACZ;Aluguel Imoveis;10/03/2020;148.07
2020;3;ACIR GURGACZ;Aluguel Imoveis;10/03/2020;194.39
2020;3;ACIR GURGACZ;Aluguel Imoveis;05/03/2020;1000.0
2020;3;ACIR GURGACZ;Aluguel Imoveis;02/03/2020;6000.0
2020;3;ACIR GURGACZ;Aluguel Imoveis;25/02/2020;323.95
2020;3;ACIR GURGACZ;Apoio parlamentar;25/03/2020;3500.0
2020;3;ACIR GURGACZ;Atividade Parlamentar;12/03/2020;1000.0
2020;3;ACIR GURGACZ;Atividade Parlamentar;10/03/2020;1500.0
2020;3;ACIR GURGACZ;Atividade Parlamentar;11/03/2020;2000.0
2020;3;ACIR GURGACZ;Atividade Parlamentar;04/03/2020;1000.0
2020;3;ACIR GURGACZ;Atividade Parlamentar;10/03/2020;1000.0
2020;3;ACIR GURGACZ;Atividade Parlamentar;10/03/2020;500.0
2020;3;ACIR GURGACZ;Viagens;23/03/2020;3944.0
2020;3;ACIR GURGACZ;Viagens;31/03/2020;5650.43
2020;3;ACIR GURGACZ;Viagens;11/03/2020;4221.61
2020;3;ACIR GURGACZ;Viagens;21/03/2020;4496.03
2020;3;ACIR GURGACZ;Passagens;14/01/2020;642.08
2020;3;ACIR GURGACZ;Passagens;29/02/2020;1306.86
2020;3;ACIR GURGACZ;Passagens;05/03/2020;2402.05
2020;3;ACIR GURGACZ;Passagens;09/03/2020;2074.56
2020;3;ACIR GURGACZ;Passagens;10/03/2020;3535.83
2020;3;ACIR GURGACZ;Passagens;13/03/2020;1593.59
2020;3;ACIR GURGACZ;Passagens;19/03/2020;1148.46
2020;4;ACIR GURGACZ;Aluguel Imoveis;08/04/2020;77.74
2020;4;ACIR GURGACZ;Aluguel Imoveis;08/04/2020;94.08
2020;4;ACIR GURGACZ;Aluguel Imoveis;05/04/2020;1000.0
2020;4;ACIR GURGACZ;Aluguel Imoveis;02/04/2020;6000.0
2020;4;ACIR GURGACZ;Aluguel Imoveis;25/03/2020;273.0
2020;4;ACIR GURGACZ;Apoio parlamentar;02/04/2020;3500.0
2020;4;ACIR GURGACZ;Apoio parlamentar;28/04/2020;6000.0
2020;4;ACIR GURGACZ;Atividade Parlamentar;02/04/2020;1000.0
2020;4;ACIR GURGACZ;Atividade Parlamentar;03/04/2020;1500.0
2020;4;ACIR GURGACZ;Atividade Parlamentar;25/04/2020;1000.0
2020;4;ACIR GURGACZ;Atividade Parlamentar;24/04/2020;1000.0
2020;4;ACIR GURGACZ;Atividade Parlamentar;03/04/2020;500.0
2020;4;ACIR GURGACZ;Atividade Parlamentar;01/04/2020;1000.0
2020;4;ACIR GURGACZ;Atividade Parlamentar;03/04/2020;1000.0
2020;4;ACIR GURGACZ;Atividade Parlamentar;28/04/2020;1000.0
2020;4;ACIR GURGACZ;Viagens;23/04/2020;4185.86
2020;4;ACIR GURGACZ;Viagens;22/04/2020;5540.07
2020;5;ACIR GURGACZ;Aluguel Imoveis;11/05/2020;78.07
2020;5;ACIR GURGACZ;Aluguel Imoveis;05/05/2020;1000.0
2020;5;ACIR GURGACZ;Aluguel Imoveis;03/05/2020;6000.0
2020;5;ACIR GURGACZ;Aluguel Imoveis;25/04/2020;189.77
2020;5;ACIR GURGACZ;Aluguel Imoveis;25/05/2020;189.77
2020;5;ACIR GURGACZ;Apoio parlamentar;15/05/2020;3500.0
2020;5;ACIR GURGACZ;Atividade Parlamentar;11/05/2020;1000.0
2020;5;ACIR GURGACZ;Atividade Parlamentar;08/05/2020;1500.0
2020;5;ACIR GURGACZ;Atividade Parlamentar;05/05/2020;1000.0
2020;5;ACIR GURGACZ;Atividade Parlamentar;19/05/2020;1000.0
2020;5;ACIR GURGACZ;Atividade Parlamentar;22/05/2020;1000.0
2020;5;ACIR GURGACZ;Atividade Parlamentar;04/05/2020;500.0
2020;5;ACIR GURGACZ;Atividade Parlamentar;07/05/2020;1000.0
2020;5;ACIR GURGACZ;Atividade Parlamentar;28/05/2020;1000.0
2020;5;ACIR GURGACZ;Viagens;05/05/2020;5309.6
