ANO;MES;SENADOR;TIPO_DESPESA;DATA;VALOR_REEMBOLSADO
2021;1;ACIR GURGACZ;Aluguel Imoveis;21/01/2021;75.29
2021;1;ACIR GURGACZ;Aluguel Imoveis;05/01/2021;1000.0
2021;1;ACIR GURGACZ;Aluguel Imoveis;06/01/2021;6000.0
2021;1;ACIR GURGACZ;Atividade Parlamentar;25/01/2021;1500.0
2021;1;ACIR GURGACZ;Atividade Parlamentar;07/01/2021;6000.0
2021;1;ACIR GURGACZ;Passagens;21/01/2021;1486.46
2021;1;ACIR GURGACZ;Passagens;27/01/2021;1890.0
2021;2;ACIR GURGACZ;Aluguel Imoveis;19/02/2021;73.45
2021;2;ACIR GURGACZ;Aluguel Imoveis;19/02/2021;171.0
2021;2;ACIR GURGACZ;Aluguel Imoveis;05/02/2021;1000.0
2021;2;ACIR GURGACZ;Aluguel Imoveis;02/02/2021;6000.0
2021;2;ACIR GURGACZ;Aluguel Imoveis;25/02/2021;189.77
2021;2;ACIR GURGACZ;Atividade Parlamentar;09/02/2021;1500.0
2021;2;ACIR GURGACZ;Atividade Parlamentar;10/02/2021;6000.0
2021;2;ACIR GURGACZ;Viagens;04/02/2021;2868.19
2021;2;ACIR GURGACZ;Viagens;08/02/2021;1653.6
2021;2;ACIR GURGACZ;Passagens;10/02/2021;1732.44
2021;2;ACIR GURGACZ;Passagens;18/02/2021;2720.0
2021;2;ACIR GURGACZ;Passagens;20/02/2021;2455.0
2021;3;ACIR GURGACZ;Aluguel Imoveis;22/03/2021;73.37
2021;3;ACIR GURGACZ;Aluguel Imoveis;22/03/2021;174.68
2021;3;ACIR GURGACZ;Aluguel Imoveis;05/03/2021;1000.0
2021;3;ACIR GURGACZ;Aluguel Imoveis;02/03/2021;6000.0
2021;3;ACIR GURGACZ;Aluguel Imoveis;25/03/2021;189.77
2021;3;ACIR GURGACZ;Apoio parlamentar;10/03/2021;6000.0
2021;3;ACIR GURGACZ;Atividade Parlamentar;03/03/2021;1500.0
2021;3;ACIR GURGACZ;Atividade Parlamentar;02/03/2021;1000.0
2021;3;ACIR GURGACZ;Atividade Parlamentar;11/03/2021;1000.0
2021;3;ACIR GURGACZ;Atividade Parlamentar;24/03/2021;1000.0
2021;3;ACIR GURGACZ;Atividade Parlamentar;08/03/2021;500.0
2021;3;ACIR GURGACZ;Viagens;18/03/2021;1550.35
2021;3;ACIR GURGACZ;Viagens;22/03/2021;2185.92
2021;3;ACIR GURGACZ;Viagens;22/03/2021;2639.8
2021;3;ACIR GURGACZ;Viagens;22/03/2021;4033.4
2021;3;ACIR GURGACZ;Passagens;25/02/2021;1625.0
2021;3;ACIR GURGACZ;Passagens;05/03/2021;1490.0
2021;3;ACIR GURGACZ;Passagens;10/03/2021;1495.0
2021;3;ACIR GURGACZ;Passagens;14/03/2021;1570.0
2021;3;ACIR GURGACZ;Passagens;16/03/2021;1354.0
2021;3;ACIR GURGACZ;Passagens;16/03/2021;1905.0
2021;3;ACIR GURGACZ;Passagens;29/03/2021;1575.0
2021;4;ACIR GURGACZ;Aluguel Imoveis;20/04/2021;73.38
2021;4;ACIR GURGACZ;Aluguel Imoveis;20/04/2021;196.7
2021;4;ACIR GURGACZ;Aluguel Imoveis;05/04/2021;1000.0
2021;4;ACIR GURGACZ;Aluguel Imoveis;05/04/2021;6000.0
2021;4;ACIR GURGACZ;Aluguel Imoveis;25/04/2021;189.77
2021;4;ACIR GURGACZ;Atividade Parlamentar;29/04/2021;1000.0
2021;4;ACIR GURGACZ;Atividade Parlamentar;05/04/2021;1500.0
2021;4;ACIR GURGACZ;Atividade Parlamentar;12/04/2021;6000.0
2021;4;ACIR GURGACZ;Atividade Parlamentar;06/04/2021;1000.0
2021;4;ACIR GURGACZ;Atividade Parlamentar;12/04/2021;1000.0
2021;4;ACIR GURGACZ;Atividade Parlamentar;26/04/2021;1000.0
2021;4;ACIR GURGACZ;Atividade Parlamentar;07/04/2021;500.0
2021;4;ACIR GURGACZ;Viagens;29/04/2021;8750.16
2021;4;ACIR GURGACZ;Viagens;30/04/2021;3302.0
2021;4;ACIR GURGACZ;Passagens;01/04/2021;1198.0
2021;4;ACIR GURGACZ;Passagens;07/04/2021;1595.0
2021;4;ACIR GURGACZ;Passagens;12/04/2021;1020.0
2021;4;ACIR GURGACZ;Passagens;17/04/2021;1935.0
2021;5;ACIR GURGACZ;Aluguel Imoveis;05/05/2021;1000.0
2021;5;ACIR GURGACZ;Aluguel Imoveis;03/05/2021;6000.0
2021;5;ACIR GURGACZ;Apoio parlamentar;05/05/2021;6000.0
2021;5;ACIR GURGACZ;Atividade Parlamentar;28/05/2021;1000.0
2021;5;ACIR GURGACZ;Atividade Parlamentar;03/05/2021;1500.0
2021;5;ACIR GURGACZ;Atividade Parlamentar;03/05/2021;1000.0
2021;5;ACIR GURGACZ;Atividade Parlamentar;11/05/2021;1000.0
2021;5;ACIR GURGACZ;Atividade Parlamentar;24/05/2021;1000.0
2021;5;ACIR GURGACZ;Atividade Parlamentar;05/05/2021;500.0
2021;5;ACIR GURGACZ;Viagens;07/05/2021;7858.7
2021;5;ACIR GURGACZ;Viagens;11/05/2021;2911.0
2021;5;ACIR GURGACZ;Viagens;17/05/2021;5461.0
2021;5;ACIR GURGACZ;Viagens;24/05/2021;11999.0
2021;5;ACIR GURGACZ;Passagens;04/05/2021;1250.0
2021;5;ACIR GURGACZ;Passagens;08/05/2021;1585.0
2021;5;ACIR GURGACZ;Passagens;13/05/2021;2395.0
2021;5;ACIR GURGACZ;Passagens;19/05/2021;2339.0
2021;5;ACIR GURGACZ;Passagens;27/05/2021;2835.0
2021;6;ACIR GURGACZ;Aluguel Imoveis;05/06/2021;1000.0
2021;6;ACIR GURGACZ;Aluguel Imoveis;02/06/2021;6000.0
2021;6;ACIR GURGACZ;Atividade Parlamentar;28/06/2021;1000.0
2021;6;ACIR GURGACZ;Atividade Parlamentar;02/06/2021;1500.0
2021;6;ACIR GURGACZ;Atividade Parlamentar;04/06/2021;6000.0
2021;6;ACIR GURGACZ;Atividade Parlamentar;04/06/2021;1000.0
2021;6;ACIR GURGACZ;Atividade Parlamentar;12/06/2021;1000.0
2021;6;ACIR GURGACZ;Atividade Parlamentar;25/06/2021;1000.0
2021;6;ACIR GURGACZ;Atividade Parlamentar;08/06/2021;500.0
2021;6;ACIR GURGACZ;Atividade Parlamentar;17/06/2021;1000.0
2021;6;ACIR GURGACZ;Viagens;05/06/2021;5859.6
2021;6;ACIR GURGACZ;Viagens;10/06/2021;1292.8
2021;6;ACIR GURGACZ;Viagens;12/06/2021;2560.0
2021;6;ACIR GURGACZ;Viagens;18/06/2021;1280.0
2021;6;ACIR GURGACZ;Viagens;24/06/2021;2560.0
2021;6;ACIR GURGACZ;Viagens;14/06/2021;2286.0
2021;6;ACIR GURGACZ;Viagens;17/06/2021;3750.0
